"Global","Level","Address","Size","Field Type","Field Name","Elt Type","Comment"
"ui","4","0xa85444","0x10","stl-vector","ui.stockpile.custom_settings.cloth.cloth_plant","bool",""
"ui","4","0xa85454","0x1","bool","ui.stockpile.custom_settings.cloth.thread_adamantine","",""
"ui","4","0xa85455","0x1","bool","ui.stockpile.custom_settings.cloth.cloth_adamantine","",""
"ui","3","0xa85458","0x10","stl-vector","ui.stockpile.custom_settings.wood","bool",""
"ui","3","0xa85468","0x34","compound","ui.stockpile.custom_settings.weapons","",""
"ui","4","0xa85468","0x10","stl-vector","ui.stockpile.custom_settings.weapons.weapon_type","bool",""
"ui","4","0xa85478","0x10","stl-vector","ui.stockpile.custom_settings.weapons.trapcomp_type","bool",""
"ui","4","0xa85488","0x10","stl-vector","ui.stockpile.custom_settings.weapons.mats","bool",""
"ui","4","0xa85498","0x1","bool","ui.stockpile.custom_settings.weapons.local","",""
"ui","4","0xa85499","0x1","bool","ui.stockpile.custom_settings.weapons.foreign","",""
"ui","3","0xa8549c","0x74","compound","ui.stockpile.custom_settings.armor","",""
"ui","4","0xa8549c","0x10","stl-vector","ui.stockpile.custom_settings.armor.body","bool",""
"ui","4","0xa854ac","0x10","stl-vector","ui.stockpile.custom_settings.armor.head","bool",""
"ui","4","0xa854bc","0x10","stl-vector","ui.stockpile.custom_settings.armor.feet","bool",""
"ui","4","0xa854cc","0x10","stl-vector","ui.stockpile.custom_settings.armor.hands","bool",""
"ui","4","0xa854dc","0x10","stl-vector","ui.stockpile.custom_settings.armor.legs","bool",""
"ui","4","0xa854ec","0x10","stl-vector","ui.stockpile.custom_settings.armor.shield","bool",""
"ui","4","0xa854fc","0x10","stl-vector","ui.stockpile.custom_settings.armor.mats","bool",""
"ui","4","0xa8550c","0x1","bool","ui.stockpile.custom_settings.armor.local","",""
"ui","4","0xa8550d","0x1","bool","ui.stockpile.custom_settings.armor.foreign","",""
"ui","1","0xa85510","0x3000","static-array","ui.unk2a8c","ui::anon8",""
"ui","2","0xa85510","0xc00","static-array","ui.unk2a8c[0]","ui::anon9",""
"ui","4","0xa85510","0x2","int16_t","ui.unk2a8c[0][0].unk1","",""
"ui","4","0xa85512","0x2","int16_t","ui.unk2a8c[0][0].unk2","",""
"ui","4","0xa85514","0x2","int16_t","ui.unk2a8c[0][1].unk1","",""
"ui","4","0xa85516","0x2","int16_t","ui.unk2a8c[0][1].unk2","",""
"ui","4","0xa85518","0x2","int16_t","ui.unk2a8c[0][2].unk1","",""
"ui","4","0xa8551a","0x2","int16_t","ui.unk2a8c[0][2].unk2","",""
"ui","4","0xa8551c","0x2","int16_t","ui.unk2a8c[0][3].unk1","",""
"ui","4","0xa8551e","0x2","int16_t","ui.unk2a8c[0][3].unk2","",""
"ui","4","0xa85520","0x2","int16_t","ui.unk2a8c[0][4].unk1","",""
"ui","4","0xa85522","0x2","int16_t","ui.unk2a8c[0][4].unk2","",""
"ui","4","0xa85524","0x2","int16_t","ui.unk2a8c[0][5].unk1","",""
"ui","4","0xa85526","0x2","int16_t","ui.unk2a8c[0][5].unk2","",""
"ui","4","0xa85528","0x2","int16_t","ui.unk2a8c[0][6].unk1","",""
"ui","4","0xa8552a","0x2","int16_t","ui.unk2a8c[0][6].unk2","",""
"ui","4","0xa8552c","0x2","int16_t","ui.unk2a8c[0][7].unk1","",""
"ui","4","0xa8552e","0x2","int16_t","ui.unk2a8c[0][7].unk2","",""
"ui","4","0xa85530","0x2","int16_t","ui.unk2a8c[0][8].unk1","",""
"ui","4","0xa85532","0x2","int16_t","ui.unk2a8c[0][8].unk2","",""
"ui","4","0xa85534","0x2","int16_t","ui.unk2a8c[0][9].unk1","",""
"ui","4","0xa85536","0x2","int16_t","ui.unk2a8c[0][9].unk2","",""
"ui","4","0xa85538","0x2","int16_t","ui.unk2a8c[0][10].unk1","",""
"ui","4","0xa8553a","0x2","int16_t","ui.unk2a8c[0][10].unk2","",""
"ui","4","0xa8553c","0x2","int16_t","ui.unk2a8c[0][11].unk1","",""
"ui","4","0xa8553e","0x2","int16_t","ui.unk2a8c[0][11].unk2","",""
"ui","4","0xa85540","0x2","int16_t","ui.unk2a8c[0][12].unk1","",""
"ui","4","0xa85542","0x2","int16_t","ui.unk2a8c[0][12].unk2","",""
"ui","4","0xa85544","0x2","int16_t","ui.unk2a8c[0][13].unk1","",""
"ui","4","0xa85546","0x2","int16_t","ui.unk2a8c[0][13].unk2","",""
"ui","4","0xa85548","0x2","int16_t","ui.unk2a8c[0][14].unk1","",""
"ui","4","0xa8554a","0x2","int16_t","ui.unk2a8c[0][14].unk2","",""
"ui","4","0xa8554c","0x2","int16_t","ui.unk2a8c[0][15].unk1","",""
"ui","4","0xa8554e","0x2","int16_t","ui.unk2a8c[0][15].unk2","",""
"ui","4","0xa85550","0x2","int16_t","ui.unk2a8c[0][16].unk1","",""
"ui","4","0xa85552","0x2","int16_t","ui.unk2a8c[0][16].unk2","",""
"ui","4","0xa85554","0x2","int16_t","ui.unk2a8c[0][17].unk1","",""
"ui","4","0xa85556","0x2","int16_t","ui.unk2a8c[0][17].unk2","",""
